date_id,full_date,year,month,day,quarter,season
0,1900-01-01,0,0,0,0,Unknown
20210402,2021-04-02,2021,4,2,2,Spring
20200306,2020-03-06,2020,3,6,1,Spring
20210219,2021-02-19,2021,2,19,1,Winter
20190308,2019-03-08,2019,3,8,1,Spring
20200529,2020-05-29,2020,5,29,2,Spring
20200521,2020-05-21,2020,5,21,2,Spring
20200417,2020-04-17,2020,4,17,2,Spring
20230208,2023-02-08,2023,2,8,1,Winter
20220603,2022-06-03,2022,6,3,2,Summer
20190607,2019-06-07,2019,6,7,2,Summer
20190207,2019-02-07,2019,2,7,1,Winter
20190416,2019-04-16,2019,4,16,2,Spring
20200313,2020-03-13,2020,3,13,1,Spring
20190920,2019-09-20,2019,9,20,3,Autumn
20190114,2019-01-14,2019,1,14,1,Winter
20250516,2025-05-16,2025,5,16,2,Spring
20180615,2018-06-15,2018,6,15,2,Summer
20190710,2019-07-10,2019,7,10,3,Summer
20200117,2020-01-17,2020,1,17,1,Winter
20200000,2020-01-01,2020,0,0,0,Unknown
20230519,2023-05-19,2023,5,19,2,Spring
20191230,2019-12-30,2019,12,30,4,Winter
20240621,2024-06-21,2024,6,21,2,Summer
20201225,2020-12-25,2020,12,25,4,Winter
20221104,2022-11-04,2022,11,4,4,Autumn
20190813,2019-08-13,2019,8,13,3,Summer
20200407,2020-04-07,2020,4,7,2,Spring
20240301,2024-03-01,2024,3,1,1,Spring
20181220,2018-12-20,2018,12,20,4,Winter
20181205,2018-12-05,2018,12,5,4,Winter
20181112,2018-11-12,2018,11,12,4,Autumn
20200124,2020-01-24,2020,1,24,1,Winter
20200610,2020-06-10,2020,6,10,2,Summer
20151117,2015-11-17,2015,11,17,4,Autumn
20150907,2015-09-07,2015,9,7,3,Autumn
20250502,2025-05-02,2025,5,2,2,Spring
20151126,2015-11-26,2015,11,26,4,Autumn
20151122,2015-11-22,2015,11,22,4,Autumn
20151102,2015-11-02,2015,11,2,4,Autumn
20160127,2016-01-27,2016,1,27,1,Winter
20250522,2025-05-22,2025,5,22,2,Spring
20151129,2015-11-29,2015,11,29,4,Autumn
20250505,2025-05-05,2025,5,5,2,Spring
20181211,2018-12-11,2018,12,11,4,Winter
20180306,2018-03-06,2018,3,6,1,Spring
20190524,2019-05-24,2019,5,24,2,Spring
20210528,2021-05-28,2021,5,28,2,Spring
20161024,2016-10-24,2016,10,24,4,Autumn
20190213,2019-02-13,2019,2,13,1,Winter
20180214,2018-02-14,2018,2,14,1,Winter
20211022,2021-10-22,2021,10,22,4,Autumn
20171013,2017-10-13,2017,10,13,4,Autumn
20240510,2024-05-10,2024,5,10,2,Spring
20191002,2019-10-02,2019,10,2,4,Autumn
20180607,2018-06-07,2018,6,7,2,Summer
20180622,2018-06-22,2018,6,22,2,Summer
20180423,2018-04-23,2018,4,23,2,Spring
20170313,2017-03-13,2017,3,13,1,Spring
20190110,2019-01-10,2019,1,10,1,Winter
20210430,2021-04-30,2021,4,30,2,Spring
20201112,2020-11-12,2020,11,12,4,Autumn
20191213,2019-12-13,2019,12,13,4,Winter
20200724,2020-07-24,2020,7,24,3,Summer
20240614,2024-06-14,2024,6,14,2,Summer
20210910,2021-09-10,2021,9,10,3,Autumn
20220624,2022-06-24,2022,6,24,2,Summer
20200315,2020-03-15,2020,3,15,1,Spring
20240223,2024-02-23,2024,2,23,1,Winter
20200624,2020-06-24,2020,6,24,2,Summer
20151113,2015-11-13,2015,11,13,4,Autumn
20191202,2019-12-02,2019,12,2,4,Winter
20250207,2025-02-07,2025,2,7,1,Winter
20240405,2024-04-05,2024,4,5,2,Spring
20200507,2020-05-07,2020,5,7,2,Spring
20250404,2025-04-04,2025,4,4,2,Spring
20230728,2023-07-28,2023,7,28,3,Summer
20241018,2024-10-18,2024,10,18,4,Autumn
20170910,2017-09-10,2017,9,10,3,Autumn
20250509,2025-05-09,2025,5,9,2,Spring
20240306,2024-03-06,2024,3,6,1,Spring
20190319,2019-03-19,2019,3,19,1,Spring
20200716,2020-07-16,2020,7,16,3,Summer
20230929,2023-09-29,2023,9,29,3,Autumn
20230512,2023-05-12,2023,5,12,2,Spring
20180426,2018-04-26,2018,4,26,2,Spring
20191011,2019-10-11,2019,10,11,4,Autumn
20210514,2021-05-14,2021,5,14,2,Spring
20210422,2021-04-22,2021,4,22,2,Spring
20240207,2024-02-07,2024,2,7,1,Winter
20191129,2019-11-29,2019,11,29,4,Autumn
20180308,2018-03-08,2018,3,8,1,Spring
20250530,2025-05-30,2025,5,30,2,Spring
20240216,2024-02-16,2024,2,16,1,Winter
20171014,2017-10-14,2017,10,14,4,Autumn
20181008,2018-10-08,2018,10,8,4,Autumn
20210419,2021-04-19,2021,4,19,2,Spring
20210901,2021-09-01,2021,9,1,3,Autumn
20190117,2019-01-17,2019,1,17,1,Winter
20220304,2022-03-04,2022,3,4,1,Spring
20220325,2022-03-25,2022,3,25,1,Spring
20220131,2022-01-31,2022,1,31,1,Winter
20230224,2023-02-24,2023,2,24,1,Winter
20220610,2022-06-10,2022,6,10,2,Summer
20221128,2022-11-28,2022,11,28,4,Autumn
20191120,2019-11-20,2019,11,20,4,Autumn
20170000,2017-01-01,2017,0,0,0,Unknown
20200519,2020-05-19,2020,5,19,2,Spring
20200314,2020-03-14,2020,3,14,1,Spring
20221007,2022-10-07,2022,10,7,4,Autumn
20160809,2016-08-09,2016,8,9,3,Summer
20220727,2022-07-27,2022,7,27,3,Summer
20160916,2016-09-16,2016,9,16,3,Autumn
20190429,2019-04-29,2019,4,29,2,Spring
20190410,2019-04-10,2019,4,10,2,Spring
20211225,2021-12-25,2021,12,25,4,Winter
20190323,2019-03-23,2019,3,23,1,Spring
20191108,2019-11-08,2019,11,8,4,Autumn
20181130,2018-11-30,2018,11,30,4,Autumn
20191115,2019-11-15,2019,11,15,4,Autumn
20200731,2020-07-31,2020,7,31,3,Summer
20190503,2019-05-03,2019,5,3,2,Spring
20180608,2018-06-08,2018,6,8,2,Summer
20180209,2018-02-09,2018,2,9,1,Winter
20170926,2017-09-26,2017,9,26,3,Autumn
20220715,2022-07-15,2022,7,15,3,Summer
20220930,2022-09-30,2022,9,30,3,Autumn
20241213,2024-12-13,2024,12,13,4,Winter
20230317,2023-03-17,2023,3,17,1,Spring
20180517,2018-05-17,2018,5,17,2,Spring
20220923,2022-09-23,2022,9,23,3,Autumn
20171000,2017-10-01,2017,10,0,4,Autumn
20190000,2019-01-01,2019,0,0,0,Unknown
20200423,2020-04-23,2020,4,23,2,Spring
20231215,2023-12-15,2023,12,15,4,Winter
20200320,2020-03-20,2020,3,20,1,Spring
20230907,2023-09-07,2023,9,7,3,Autumn
20191207,2019-12-07,2019,12,7,4,Winter
20200908,2020-09-08,2020,9,8,3,Autumn
20231031,2023-10-31,2023,10,31,4,Autumn
20210404,2021-04-04,2021,4,4,2,Spring
20230703,2023-07-03,2023,7,3,3,Summer
20180000,2018-01-01,2018,0,0,0,Unknown
20161224,2016-12-24,2016,12,24,4,Winter
20181031,2018-10-31,2018,10,31,4,Autumn
20201031,2020-10-31,2020,10,31,4,Autumn
20190711,2019-07-11,2019,7,11,3,Summer
20201003,2020-10-03,2020,10,3,4,Autumn
20180401,2018-04-01,2018,4,1,2,Spring
20200919,2020-09-19,2020,9,19,3,Autumn
20161117,2016-11-17,2016,11,17,4,Autumn
20210218,2021-02-18,2021,2,18,1,Winter
20190530,2019-05-30,2019,5,30,2,Spring
20210109,2021-01-09,2021,1,9,1,Winter
20161213,2016-12-13,2016,12,13,4,Winter
20150725,2015-07-25,2015,7,25,3,Summer
20180411,2018-04-11,2018,4,11,2,Spring
20180700,2018-07-01,2018,7,0,3,Summer
20201126,2020-11-26,2020,11,26,4,Autumn
20200916,2020-09-16,2020,9,16,3,Autumn
20201109,2020-11-09,2020,11,9,4,Autumn
20170502,2017-05-02,2017,5,2,2,Spring
20171031,2017-10-31,2017,10,31,4,Autumn
20170123,2017-01-23,2017,1,23,1,Winter
20201022,2020-10-22,2020,10,22,4,Autumn
20160902,2016-09-02,2016,9,2,3,Autumn
20220408,2022-04-08,2022,4,8,2,Spring
20201021,2020-10-21,2020,10,21,4,Autumn
20240326,2024-03-26,2024,3,26,1,Spring
20170311,2017-03-11,2017,3,11,1,Spring
20220000,2022-01-01,2022,0,0,0,Unknown
20231104,2023-11-04,2023,11,4,4,Autumn
20180614,2018-06-14,2018,6,14,2,Summer
20250000,2025-01-01,2025,0,0,0,Unknown
20221130,2022-11-30,2022,11,30,4,Autumn
20230901,2023-09-01,2023,9,1,3,Autumn
20230505,2023-05-05,2023,5,5,2,Spring
20240705,2024-07-05,2024,7,5,3,Summer
20220909,2022-09-09,2022,9,9,3,Autumn
20220905,2022-09-05,2022,9,5,3,Autumn
20240920,2024-09-20,2024,9,20,3,Autumn
20190301,2019-03-01,2019,3,1,1,Spring
20240227,2024-02-27,2024,2,27,1,Winter
20170407,2017-04-07,2017,4,7,2,Spring
20200717,2020-07-17,2020,7,17,3,Summer
20190927,2019-09-27,2019,9,27,3,Autumn
20240913,2024-09-13,2024,9,13,3,Autumn
20191004,2019-10-04,2019,10,4,4,Autumn
20170404,2017-04-04,2017,4,4,2,Spring
20170414,2017-04-14,2017,4,14,2,Spring
20190221,2019-02-21,2019,2,21,1,Winter
20180713,2018-07-13,2018,7,13,3,Summer
20161212,2016-12-12,2016,12,12,4,Winter
20220309,2022-03-09,2022,3,9,1,Spring
20171020,2017-10-20,2017,10,20,4,Autumn
20200701,2020-07-01,2020,7,1,3,Summer
20170227,2017-02-27,2017,2,27,1,Winter
20190212,2019-02-12,2019,2,12,1,Winter
20160816,2016-08-16,2016,8,16,3,Summer
20180321,2018-03-21,2018,3,21,1,Spring
20241127,2024-11-27,2024,11,27,4,Autumn
20230331,2023-03-31,2023,3,31,1,Spring
20221216,2022-12-16,2022,12,16,4,Winter
20170130,2017-01-30,2017,1,30,1,Winter
20141229,2014-12-29,2014,12,29,4,Winter
20170808,2017-08-08,2017,8,8,3,Summer
20161205,2016-12-05,2016,12,5,4,Winter
20160725,2016-07-25,2016,7,25,3,Summer
20161230,2016-12-30,2016,12,30,4,Winter
20220527,2022-05-27,2022,5,27,2,Spring
20170216,2017-02-16,2017,2,16,1,Winter
20230417,2023-04-17,2023,4,17,2,Spring
20200421,2020-04-21,2020,4,21,2,Spring
20211019,2021-10-19,2021,10,19,4,Autumn
20220505,2022-05-05,2022,5,5,2,Spring
20161125,2016-11-25,2016,11,25,4,Autumn
20171012,2017-10-12,2017,10,12,4,Autumn
20191225,2019-12-25,2019,12,25,4,Winter
20171218,2017-12-18,2017,12,18,4,Winter
20201125,2020-11-25,2020,11,25,4,Autumn
20211231,2021-12-31,2021,12,31,4,Winter
20120429,2012-04-29,2012,4,29,2,Spring
20130712,2013-07-12,2013,7,12,3,Summer
20121105,2012-11-05,2012,11,5,4,Autumn
20201012,2020-10-12,2020,10,12,4,Autumn
20121028,2012-10-28,2012,10,28,4,Autumn
20120617,2012-06-17,2012,6,17,2,Summer
20170331,2017-03-31,2017,3,31,1,Spring
20120120,2012-01-20,2012,1,20,1,Winter
20200328,2020-03-28,2020,3,28,1,Spring
20200406,2020-04-06,2020,4,6,2,Spring
20250606,2025-06-06,2025,6,6,2,Summer
20120827,2012-08-27,2012,8,27,3,Summer
20120000,2012-01-01,2012,0,0,0,Unknown
20150119,2015-01-19,2015,1,19,1,Winter
20170428,2017-04-28,2017,4,28,2,Spring
20170519,2017-05-19,2017,5,19,2,Spring
20190614,2019-06-14,2019,6,14,2,Summer
20200710,2020-07-10,2020,7,10,3,Summer
20171120,2017-11-20,2017,11,20,4,Autumn
20180525,2018-05-25,2018,5,25,2,Spring
20130917,2013-09-17,2013,9,17,3,Autumn
20170317,2017-03-17,2017,3,17,1,Spring
20210326,2021-03-26,2021,3,26,1,Spring
20210226,2021-02-26,2021,2,26,1,Winter
20230602,2023-06-02,2023,6,2,2,Summer
20180427,2018-04-27,2018,4,27,2,Spring
20200702,2020-07-02,2020,7,2,3,Summer
20190208,2019-02-08,2019,2,8,1,Winter
20160222,2016-02-22,2016,2,22,1,Winter
20230504,2023-05-04,2023,5,4,2,Spring
20201211,2020-12-11,2020,12,11,4,Winter
20190517,2019-05-17,2019,5,17,2,Spring
20250523,2025-05-23,2025,5,23,2,Spring
20200430,2020-04-30,2020,4,30,2,Spring
20230606,2023-06-06,2023,6,6,2,Summer
20130921,2013-09-21,2013,9,21,3,Autumn
20150127,2015-01-27,2015,1,27,1,Winter
20170309,2017-03-09,2017,3,9,1,Spring
20210512,2021-05-12,2021,5,12,2,Spring
20240419,2024-04-19,2024,4,19,2,Spring
20220630,2022-06-30,2022,6,30,2,Summer
20130513,2013-05-13,2013,5,13,2,Spring
20231122,2023-11-22,2023,11,22,4,Autumn
20160303,2016-03-03,2016,3,3,1,Spring
20250418,2025-04-18,2025,4,18,2,Spring
20171003,2017-10-03,2017,10,3,4,Autumn
20161114,2016-11-14,2016,11,14,4,Autumn
20220114,2022-01-14,2022,1,14,1,Winter
20250529,2025-05-29,2025,5,29,2,Spring
20181016,2018-10-16,2018,10,16,4,Autumn
20101012,2010-10-12,2010,10,12,4,Autumn
20060628,2006-06-28,2006,6,28,2,Summer
20080000,2008-01-01,2008,0,0,0,Unknown
20040000,2004-01-01,2004,0,0,0,Unknown
20170927,2017-09-27,2017,9,27,3,Autumn
20080415,2008-04-15,2008,4,15,2,Spring
20170921,2017-09-21,2017,9,21,3,Autumn
20110716,2011-07-16,2011,7,16,3,Summer
20170929,2017-09-29,2017,9,29,3,Autumn
20200815,2020-08-15,2020,8,15,3,Summer
20131221,2013-12-21,2013,12,21,4,Winter
20120619,2012-06-19,2012,6,19,2,Summer
20150702,2015-07-02,2015,7,2,3,Summer
20170526,2017-05-26,2017,5,26,2,Spring
20120511,2012-05-11,2012,5,11,2,Spring
20150925,2015-09-25,2015,9,25,3,Autumn
20161203,2016-12-03,2016,12,3,4,Winter
20080315,2008-03-15,2008,3,15,1,Spring
20240917,2024-09-17,2024,9,17,3,Autumn
20240517,2024-05-17,2024,5,17,2,Spring
20230421,2023-04-21,2023,4,21,2,Spring
20230209,2023-02-09,2023,2,9,1,Winter
20230714,2023-07-14,2023,7,14,3,Summer
20250124,2025-01-24,2025,1,24,1,Winter
20250307,2025-03-07,2025,3,7,1,Spring
20240125,2024-01-25,2024,1,25,1,Winter
20231110,2023-11-10,2023,11,10,4,Autumn
20220216,2022-02-16,2022,2,16,1,Winter
20240717,2024-07-17,2024,7,17,3,Summer
20220617,2022-06-17,2022,6,17,2,Summer
20211215,2021-12-15,2021,12,15,4,Winter
20170630,2017-06-30,2017,6,30,2,Summer
20200626,2020-06-26,2020,6,26,2,Summer
20130604,2013-06-04,2013,6,4,2,Summer
20210409,2021-04-09,2021,4,9,2,Spring
20150623,2015-06-23,2015,6,23,2,Summer
20230113,2023-01-13,2023,1,13,1,Winter
20180914,2018-09-14,2018,9,14,3,Autumn
20110610,2011-06-10,2011,6,10,2,Summer
20211210,2021-12-10,2021,12,10,4,Winter
20151125,2015-11-25,2015,11,25,4,Autumn
20180907,2018-09-07,2018,9,7,3,Autumn
20170922,2017-09-22,2017,9,22,3,Autumn
20170421,2017-04-21,2017,4,21,2,Spring
20250110,2025-01-10,2025,1,10,1,Winter
20190605,2019-06-05,2019,6,5,2,Summer
20200611,2020-06-11,2020,6,11,2,Summer
20150505,2015-05-05,2015,5,5,2,Spring
20130423,2013-04-23,2013,4,23,2,Spring
20201216,2020-12-16,2020,12,16,4,Winter
20170602,2017-06-02,2017,6,2,2,Summer
20150526,2015-05-26,2015,5,26,2,Spring
20190621,2019-06-21,2019,6,21,2,Summer
20110614,2011-06-14,2011,6,14,2,Summer
20150616,2015-06-16,2015,6,16,2,Summer
20210428,2021-04-28,2021,4,28,2,Spring
20150723,2015-07-23,2015,7,23,3,Summer
20110520,2011-05-20,2011,5,20,2,Spring
20181129,2018-11-29,2018,11,29,4,Autumn
20151127,2015-11-27,2015,11,27,4,Autumn
20060000,2006-01-01,2006,0,0,0,Unknown
20130405,2013-04-05,2013,4,5,2,Spring
20201127,2020-11-27,2020,11,27,4,Autumn
20180601,2018-06-01,2018,6,1,2,Summer
20180406,2018-04-06,2018,4,6,2,Spring
20180216,2018-02-16,2018,2,16,1,Winter
20091011,2009-10-11,2009,10,11,4,Autumn
20090000,2009-01-01,2009,0,0,0,Unknown
20181122,2018-11-22,2018,11,22,4,Autumn
20050411,2005-04-11,2005,4,11,2,Spring
20130510,2013-05-10,2013,5,10,2,Spring
20131126,2013-11-26,2013,11,26,4,Autumn
20190514,2019-05-14,2019,5,14,2,Spring
20171215,2017-12-15,2017,12,15,4,Winter
20250521,2025-05-21,2025,5,21,2,Spring
20101115,2010-11-15,2010,11,15,4,Autumn
20151106,2015-11-06,2015,11,6,4,Autumn
20131030,2013-10-30,2013,10,30,4,Autumn
20150000,2015-01-01,2015,0,0,0,Unknown
20081009,2008-10-09,2008,10,9,4,Autumn
20040430,2004-04-30,2004,4,30,2,Spring
20180223,2018-02-23,2018,2,23,1,Winter
20120320,2012-03-20,2012,3,20,1,Spring
20050000,2005-01-01,2005,0,0,0,Unknown
20050101,2005-01-01,2005,1,1,1,Winter
19990000,1999-01-01,1999,0,0,0,Unknown
20170405,2017-04-05,2017,4,5,2,Spring
20240226,2024-02-26,2024,2,26,1,Winter
20131118,2013-11-18,2013,11,18,4,Autumn
20171112,2017-11-12,2017,11,12,4,Autumn
20170224,2017-02-24,2017,2,24,1,Winter
20170324,2017-03-24,2017,3,24,1,Spring
20180201,2018-02-01,2018,2,1,1,Winter
20200703,2020-07-03,2020,7,3,3,Summer
20121126,2012-11-26,2012,11,26,4,Autumn
20150401,2015-04-01,2015,4,1,2,Spring
20140609,2014-06-09,2014,6,9,2,Summer
20201106,2020-11-06,2020,11,6,4,Autumn
20201023,2020-10-23,2020,10,23,4,Autumn
20200828,2020-08-28,2020,8,28,3,Summer
20170908,2017-09-08,2017,9,8,3,Autumn
20180817,2018-08-17,2018,8,17,3,Summer
20200911,2020-09-11,2020,9,11,3,Autumn
20230609,2023-06-09,2023,6,9,2,Summer
20231027,2023-10-27,2023,10,27,4,Autumn
20230707,2023-07-07,2023,7,7,3,Summer
20230407,2023-04-07,2023,4,7,2,Spring
20230908,2023-09-08,2023,9,8,3,Autumn
20180511,2018-05-11,2018,5,11,2,Spring
20231201,2023-12-01,2023,12,1,4,Winter
20230804,2023-08-04,2023,8,4,3,Summer
20240816,2024-08-16,2024,8,16,3,Summer
20241025,2024-10-25,2024,10,25,4,Autumn
20181024,2018-10-24,2018,10,24,4,Autumn
20200110,2020-01-10,2020,1,10,1,Winter
20190830,2019-08-30,2019,8,30,3,Summer
20161209,2016-12-09,2016,12,9,4,Winter
20201007,2020-10-07,2020,10,7,4,Autumn
20180413,2018-04-13,2018,4,13,2,Spring
20170609,2017-06-09,2017,6,9,2,Summer
20230721,2023-07-21,2023,7,21,3,Summer
20211203,2021-12-03,2021,12,3,4,Winter
20230310,2023-03-10,2023,3,10,1,Spring
20230526,2023-05-26,2023,5,26,2,Spring
20171018,2017-10-18,2017,10,18,4,Autumn
20170316,2017-03-16,2017,3,16,1,Spring
20180420,2018-04-20,2018,4,20,2,Spring
20160818,2016-08-18,2016,8,18,3,Summer
20170614,2017-06-14,2017,6,14,2,Summer
20210108,2021-01-08,2021,1,8,1,Winter
20170210,2017-02-10,2017,2,10,1,Winter
20210122,2021-01-22,2021,1,22,1,Winter
20161124,2016-11-24,2016,11,24,4,Autumn
20240503,2024-05-03,2024,5,3,2,Spring
20190620,2019-06-20,2019,6,20,2,Summer
20161003,2016-10-03,2016,10,3,4,Autumn
20161201,2016-12-01,2016,12,1,4,Winter
20241115,2024-11-15,2024,11,15,4,Autumn
20160513,2016-05-13,2016,5,13,2,Spring
20231013,2023-10-13,2023,10,13,4,Autumn
20181123,2018-11-23,2018,11,23,4,Autumn
20240308,2024-03-08,2024,3,8,1,Spring
20151218,2015-12-18,2015,12,18,4,Winter
20160610,2016-06-10,2016,6,10,2,Summer
20210416,2021-04-16,2021,4,16,2,Spring
20191122,2019-11-22,2019,11,22,4,Autumn
20210618,2021-06-18,2021,6,18,2,Summer
20250613,2025-06-13,2025,6,13,2,Summer
20220513,2022-05-13,2022,5,13,2,Spring
20140214,2014-02-14,2014,2,14,1,Winter
20130226,2013-02-26,2013,2,26,1,Winter
20140522,2014-05-22,2014,5,22,2,Spring
20191014,2019-10-14,2019,10,14,4,Autumn
20150715,2015-07-15,2015,7,15,3,Summer
20170830,2017-08-30,2017,8,30,3,Summer
20200327,2020-03-27,2020,3,27,1,Spring
20210119,2021-01-19,2021,1,19,1,Winter
20160601,2016-06-01,2016,6,1,2,Summer
20201202,2020-12-02,2020,12,2,4,Winter
20200319,2020-03-19,2020,3,19,1,Spring
20190122,2019-01-22,2019,1,22,1,Winter
20190412,2019-04-12,2019,4,12,2,Spring
20180814,2018-08-14,2018,8,14,3,Summer
20180403,2018-04-03,2018,4,3,2,Spring
20171129,2017-11-29,2017,11,29,4,Autumn
20180430,2018-04-30,2018,4,30,2,Spring
20170906,2017-09-06,2017,9,6,3,Autumn
20191022,2019-10-22,2019,10,22,4,Autumn
20231129,2023-11-29,2023,11,29,4,Autumn
20171206,2017-12-06,2017,12,6,4,Winter
20170315,2017-03-15,2017,3,15,1,Spring
20190304,2019-03-04,2019,3,4,1,Spring
20220722,2022-07-22,2022,7,22,3,Summer
20220509,2022-05-09,2022,5,9,2,Spring
20241129,2024-11-29,2024,11,29,4,Autumn
20170504,2017-05-04,2017,5,4,2,Spring
20170613,2017-06-13,2017,6,13,2,Summer
20170710,2017-07-10,2017,7,10,3,Summer
20170410,2017-04-10,2017,4,10,2,Spring
20230508,2023-05-08,2023,5,8,2,Spring
20240426,2024-04-26,2024,4,26,2,Spring
20170420,2017-04-20,2017,4,20,2,Spring
20170704,2017-07-04,2017,7,4,3,Summer
20240619,2024-06-19,2024,6,19,2,Summer
20240412,2024-04-12,2024,4,12,2,Spring
20140618,2014-06-18,2014,6,18,2,Summer
20170529,2017-05-29,2017,5,29,2,Spring
20160808,2016-08-08,2016,8,8,3,Summer
20160927,2016-09-27,2016,9,27,3,Autumn
20171222,2017-12-22,2017,12,22,4,Winter
20160711,2016-07-11,2016,7,11,3,Summer
20190603,2019-06-03,2019,6,3,2,Summer
20171114,2017-11-14,2017,11,14,4,Autumn
20170101,2017-01-01,2017,1,1,1,Winter
20180916,2018-09-16,2018,9,16,3,Autumn
20180921,2018-09-21,2018,9,21,3,Autumn
20180928,2018-09-28,2018,9,28,3,Autumn
20180613,2018-06-13,2018,6,13,2,Summer
20160511,2016-05-11,2016,5,11,2,Spring
20170110,2017-01-10,2017,1,10,1,Winter
20190510,2019-05-10,2019,5,10,2,Spring
20181221,2018-12-21,2018,12,21,4,Winter
20170501,2017-05-01,2017,5,1,2,Spring
20180821,2018-08-21,2018,8,21,3,Summer
20210129,2021-01-29,2021,1,29,1,Winter
20200508,2020-05-08,2020,5,8,2,Spring
20170307,2017-03-07,2017,3,7,1,Spring
20210611,2021-06-11,2021,6,11,2,Summer
20211015,2021-10-15,2021,10,15,4,Autumn
20180115,2018-01-15,2018,1,15,1,Winter
20240112,2024-01-12,2024,1,12,1,Winter
20250221,2025-02-21,2025,2,21,1,Winter
20220701,2022-07-01,2022,7,1,3,Summer
20240403,2024-04-03,2024,4,3,2,Spring
20160324,2016-03-24,2016,3,24,1,Spring
20201117,2020-11-17,2020,11,17,4,Autumn
20230424,2023-04-24,2023,4,24,2,Spring
20201124,2020-11-24,2020,11,24,4,Autumn
20230404,2023-04-04,2023,4,4,2,Spring
20190206,2019-02-06,2019,2,6,1,Winter
20220202,2022-02-02,2022,2,2,1,Winter
20200116,2020-01-16,2020,1,16,1,Winter
20200515,2020-05-15,2020,5,15,2,Spring
20210203,2021-02-03,2021,2,3,1,Winter
20180831,2018-08-31,2018,8,31,3,Summer
20190222,2019-02-22,2019,2,22,1,Winter
20210421,2021-04-21,2021,4,21,2,Spring
20231103,2023-11-03,2023,11,3,4,Autumn
20160122,2016-01-22,2016,1,22,1,Winter
20170714,2017-07-14,2017,7,14,3,Summer
20200408,2020-04-08,2020,4,8,2,Spring
20201009,2020-10-09,2020,10,9,4,Autumn
20210000,2021-01-01,2021,0,0,0,Unknown
20200413,2020-04-13,2020,4,13,2,Spring
20210420,2021-04-20,2021,4,20,2,Spring
20150327,2015-03-27,2015,3,27,1,Spring
20201030,2020-10-30,2020,10,30,4,Autumn
20020000,2002-01-01,2002,0,0,0,Unknown
20070126,2007-01-26,2007,1,26,1,Winter
19980000,1998-01-01,1998,0,0,0,Unknown
20020101,2002-01-01,2002,1,1,1,Winter
20201029,2020-10-29,2020,10,29,4,Autumn
20000000,2000-01-01,2000,0,0,0,Unknown
20120319,2012-03-19,2012,3,19,1,Spring
20161202,2016-12-02,2016,12,2,4,Winter
20211027,2021-10-27,2021,10,27,4,Autumn
19980101,1998-01-01,1998,1,1,1,Winter
19970000,1997-01-01,1997,0,0,0,Unknown
20120101,2012-01-01,2012,1,1,1,Winter
20120410,2012-04-10,2012,4,10,2,Spring
19990101,1999-01-01,1999,1,1,1,Winter
20070000,2007-01-01,2007,0,0,0,Unknown
20210928,2021-09-28,2021,9,28,3,Autumn
20180720,2018-07-20,2018,7,20,3,Summer
20181005,2018-10-05,2018,10,5,4,Autumn
20181212,2018-12-12,2018,12,12,4,Winter
20200522,2020-05-22,2020,5,22,2,Spring
